%Frequency (Hz)	S1,1 Mag 	S1,1 u(Mag) 	S1,1 Phase (°)	S1,1 u(Phase) (°)	S2,1 Mag 	S2,1 u(Mag) 	S2,1 Phase (°)	S2,1 u(Phase) (°)	S1,2 Mag 	S1,2 u(Mag) 	S1,2 Phase (°)	S1,2 u(Phase) (°)	S2,2 Mag 	S2,2 u(Mag) 	S2,2 Phase (°)	S2,2 u(Phase) (°)
300000.000000000	0.000844166	0.002002072	-30.245026092	135.885801487	1.000019421	0.000465325	-0.056318988	0.100798396	1.000884774	0.000581451	-0.103973424	0.102751488	0.001058686	0.002003660	-52.784951985	108.437575612
14466166.666666700	0.033485300	0.002000703	-94.442390094	3.424212806	0.999597163	0.000597717	-4.531702893	0.103050152	0.999688765	0.000597772	-4.539043082	0.103050126	0.033458238	0.002000640	-94.469770883	3.426625650
28632333.333333300	0.066045827	0.002008775	-98.918264846	1.744342402	0.997919354	0.000716568	-8.956215889	0.105525630	0.998017702	0.000716639	-8.961595374	0.105525617	0.065993832	0.002008719	-98.928266056	1.745179538
42798500.000000000	0.098054517	0.002021421	-103.295978337	1.183671216	0.995265501	0.000652094	-13.360862411	0.104163681	0.995366490	0.000652163	-13.365303805	0.104163660	0.098001344	0.002021269	-103.292275659	1.183505929
56964666.666666700	0.129328687	0.002038476	-107.634244725	0.906366257	0.991665886	0.001004675	-17.738996658	0.113188675	0.991751338	0.001004761	-17.743211856	0.113188671	0.129289028	0.002038361	-107.609206140	0.905656005
71130833.333333300	0.159645552	0.002057651	-111.956901979	0.742476604	0.987210135	0.001034603	-22.080358351	0.114230097	0.987293555	0.001034691	-22.085923055	0.114230078	0.159633109	0.002057679	-111.915536583	0.741401482
85297000.000000000	0.188730780	0.002080592	-116.255105873	0.636309557	0.982035585	0.001066691	-26.382504208	0.115403905	0.982105080	0.001066761	-26.387202512	0.115404022	0.188738030	0.002079475	-116.202768993	0.634614127
99463166.666666700	0.216396283	0.002105298	-120.512125086	0.562720905	0.976295749	0.001097974	-30.637805014	0.116620133	0.976369778	0.001098055	-30.642127112	0.116620084	0.216401634	0.002102322	-120.456066141	0.560415627
113629333.333333000	0.242535005	0.002126853	-124.710992369	0.508319387	0.970135710	0.001126266	-34.839641579	0.117801288	0.970218585	0.001126361	-34.843035276	0.117801216	0.242519339	0.002127458	-124.657555814	0.506823466
127795500.000000000	0.267122811	0.002151075	-128.845970057	0.467708505	0.963641701	0.001109014	-38.987444732	0.117514523	0.963749753	0.001141801	-38.991916387	0.118647576	0.267096450	0.002165092	-128.795310313	0.468940673
141961666.666667000	0.290090845	0.002173129	-132.934364976	0.436109028	0.956923494	0.001197368	-43.083069914	0.120852212	0.957030886	0.001197501	-43.086828834	0.120852160	0.290074887	0.002172891	-132.886294847	0.434138085
156127833.333333000	0.311333390	0.002192986	-136.969583652	0.410928291	0.950181532	0.001234924	-47.118515062	0.122551613	0.950259023	0.001235028	-47.122345144	0.122551629	0.311347744	0.002194225	-136.922766867	0.409067366
170294000.000000000	0.330738848	0.002212113	-140.951460099	0.390969665	0.943572511	0.001263995	-51.095862683	0.123992830	0.943656268	0.001264108	-51.099612920	0.123992858	0.330782076	0.002212259	-140.898820530	0.388771246
184460166.666667000	0.348259861	0.002229710	-144.873340522	0.374952878	0.937218254	0.001285254	-55.020217608	0.125171355	0.937301049	0.001285367	-55.024330403	0.125171327	0.348316086	0.002229640	-144.809775872	0.372615969
198626333.333333000	0.363949872	0.002245753	-148.739680696	0.361996179	0.931203880	0.001301593	-58.898623314	0.126174727	0.931296862	0.001301719	-58.902265899	0.126174589	0.363995138	0.002245503	-148.662203951	0.359565177
212792500.000000000	0.377858061	0.002259471	-152.557523158	0.351364570	0.925608445	0.001316666	-62.730054162	0.127131865	0.925696385	0.001316788	-62.732690843	0.127131658	0.377870290	0.002259268	-152.471933126	0.348902937
226958666.666667000	0.390000623	0.002271148	-156.335989156	0.342686470	0.920492440	0.001334735	-66.514291728	0.128213422	0.920581088	0.001334860	-66.519173817	0.128213265	0.389959341	0.002271172	-156.254601460	0.340241869
241124833.333333000	0.400345657	0.002280806	-160.075067065	0.336152191	0.915971647	0.001354660	-70.258741994	0.131132624	0.916042261	0.001354758	-70.262448886	0.131132477	0.400240641	0.002281033	-160.009817451	0.333628603
255291000.000000000	0.408924275	0.002287992	-163.777385320	0.331015316	0.912136526	0.001371144	-73.972438365	0.133881967	0.912214777	0.001371259	-73.976464564	0.133881805	0.408758213	0.002288018	-163.734562569	0.328353584
269457166.666667000	0.415773166	0.002293356	-167.443283718	0.327170756	0.908988149	0.001380615	-77.657218581	0.136315456	0.909074024	0.001380745	-77.661066473	0.136315103	0.415566644	0.002292366	-167.418345011	0.324249487
283623333.333333000	0.420905823	0.002296471	-171.088259659	0.324429128	0.906511390	0.001383890	-81.318753007	0.138469119	0.906607284	0.001384032	-81.323341400	0.138468928	0.420704968	0.002296196	-171.068884018	0.321452840
297789500.000000000	0.424325765	0.002299018	-174.732310397	0.322920619	0.904774891	0.001384313	-84.964262338	0.140476866	0.904880665	0.001384472	-84.967593662	0.140476656	0.424157911	0.002298461	-174.700417283	0.319745278
311955666.666667000	0.425987590	0.002300378	-178.383004325	0.322533873	0.903890409	0.001384771	-88.598069475	0.142447738	0.904004613	0.001384941	-88.602073291	0.142447639	0.425882666	0.002299766	-178.325922868	0.319178139
326121833.333333000	0.425870544	0.002300180	177.966903805	0.323204313	0.903875917	0.001385996	-92.225521205	0.144411344	0.903987685	0.001386160	-92.229030898	0.144411031	0.425820946	0.002299929	178.058912795	0.319737058
340288000.000000000	0.424008377	0.002298014	174.319934382	0.324850724	0.904681382	0.001386738	-95.854538824	0.146321802	0.904793451	0.001386900	-95.859719744	0.146321444	0.424000297	0.002298386	174.447100226	0.321325131
354454166.666667000	0.420467231	0.002294207	170.668462224	0.327489290	0.906267601	0.001385214	-99.499000041	0.148118454	0.906369446	0.001385353	-99.501323339	0.148118149	0.420484976	0.002294728	170.819110692	0.323864895
368620333.333333000	0.415279936	0.002314956	167.003476050	0.334471588	0.908578141	0.001322843	-103.157276470	0.148108665	0.908677195	0.001453427	-103.161176521	0.152727415	0.415294510	0.002311279	167.166243260	0.330485495
382786500.000000000	0.408410662	0.002283096	163.318704860	0.336096211	0.911604162	0.001370899	-106.836161562	0.151244650	0.911708021	0.001371046	-106.839514521	0.151244311	0.408398673	0.002282402	163.482132030	0.332167099
396952666.666667000	0.399808362	0.002275175	159.608149958	0.342232655	0.915332277	0.001357466	-110.541169186	0.152575147	0.915442369	0.001357623	-110.546367031	0.152574809	0.399766040	0.002274397	159.771633253	0.338252979
411118833.333333000	0.389437277	0.002265236	155.865177768	0.349764088	0.919710256	0.001341279	-114.286087078	0.153821275	0.919839490	0.001341461	-114.289974998	0.153821102	0.389395169	0.002264202	156.038977586	0.345702118
425285000.000000000	0.377285968	0.002252755	152.086345257	0.358837268	0.924670679	0.001324524	-118.068558987	0.155069428	0.924814374	0.001324727	-118.073779050	0.155069139	0.377281464	0.002251867	152.285763820	0.354733142
439451166.666667000	0.363284361	0.002237836	148.258397652	0.369813760	0.930149915	0.001308134	-121.893730143	0.156355388	0.930298113	0.001308334	-121.897908351	0.156355127	0.363353599	0.002237501	148.503141492	0.365712358
453617333.333333000	0.347376280	0.002223188	144.371641074	0.383717552	0.936120087	0.001306432	-125.760779928	0.158596495	0.936256606	0.001304868	-125.766722013	0.157872844	0.347521723	0.002202797	144.675199022	0.376183407
467783500.000000000	0.329535562	0.002203142	140.420954145	0.399864149	0.942514510	0.001268825	-129.685373684	0.158824796	0.942665382	0.001269022	-129.691293565	0.158824757	0.329728791	0.002203741	140.790066070	0.395823487
481949666.666667000	0.309833301	0.002184078	136.416915344	0.420453157	0.949157807	0.001241169	-133.663192765	0.159899408	0.949313833	0.001241370	-133.668469047	0.159899322	0.310031783	0.002184763	136.856843617	0.416478901
496115833.333333000	0.288404435	0.002163106	132.357947513	0.445902403	0.955839013	0.001207544	-137.698769428	0.160884499	0.956018229	0.001207766	-137.704400553	0.160884389	0.288573998	0.002163785	132.876675394	0.442051191
510282000.000000000	0.265352122	0.002140300	128.228700566	0.477752063	0.962467941	0.001172742	-141.791586368	0.161926115	0.962639288	0.001172948	-141.796979489	0.161926048	0.265491189	0.002141034	128.841279799	0.474078511
524448166.666667000	0.240675161	0.002116490	124.023677469	0.518717338	0.968904193	0.001142172	-145.937956567	0.163162211	0.969072073	0.001142365	-145.944377487	0.163162036	0.240807187	0.002117385	124.754772822	0.515250452
538614333.333333000	0.214344896	0.002092263	119.748651196	0.573163232	0.975044344	0.001114487	-150.139106644	0.164542819	0.975215935	0.001114679	-150.144154333	0.164542457	0.214494441	0.002093541	120.639547882	0.569945192
552780500.000000000	0.186422102	0.002068769	115.419956607	0.648491108	0.980756504	0.001085479	-154.389683734	0.165963894	0.980918503	0.001085655	-154.396660231	0.165963647	0.186593694	0.002070432	116.537522177	0.645536609
566946666.666667000	0.157086090	0.002047651	111.031279219	0.758038192	0.985882586	0.001055933	-158.694602632	0.167443622	0.986040806	0.001056098	-158.699904167	0.167443538	0.157272281	0.002049338	112.483618572	0.755237789
581112833.333333000	0.126562789	0.002029336	106.546410251	0.928102134	0.990255181	0.001027679	-163.041625209	0.169019714	0.990426099	0.001027857	-163.046774289	0.169019710	0.126756741	0.002030974	108.512059221	0.925315223
595279000.000000000	0.095058237	0.002012934	101.874722402	1.220656787	0.993771163	0.000695666	-167.421485980	0.165563290	0.993939679	0.000695787	-167.427926728	0.165563319	0.095256003	0.002014926	104.693165358	1.217681136
609445166.666667000	0.062802737	0.002000114	96.812345029	1.829801636	0.996339535	0.000670906	-171.830859798	0.168162043	0.996513399	0.000707669	-171.837649660	0.168027066	0.062996972	0.002004206	101.340000987	1.826709122
623611333.333333000	0.030072499	0.001994691	90.376448381	3.802907746	0.997895891	0.000543836	-176.256198706	0.168394611	0.998060386	0.000543925	-176.262528032	0.168394611	0.030311056	0.001997007	100.294599458	3.776826513
637777500.000000000	0.003526294	0.001993120	-57.126905040	32.384806948	0.998348902	0.000539284	179.309041563	0.170725136	0.998501086	0.000650588	179.303966247	0.171998048	0.004524814	0.001995631	-141.547843700	25.270115116
651943666.666667000	0.035894974	0.001996828	-91.772417530	3.190531404	0.997732995	0.000659070	174.876103214	0.174474675	0.997874673	0.000659165	174.871972369	0.174474685	0.035923714	0.001999373	-100.890026447	3.191334505
666109833.333333000	0.068531894	0.002005528	-97.632167114	1.682938676	0.996038244	0.000679298	170.453219744	0.177106836	0.996184156	0.000574782	170.446978352	0.175875913	0.068479569	0.002008261	-102.629247332	1.685122948
680276000.000000000	0.100763963	0.002015935	-102.509318903	1.155605055	0.993292250	0.000853420	166.044903583	0.182513699	0.993450846	0.000813665	166.040246875	0.181305151	0.100681998	0.002015483	-106.067399100	1.154301972
694442166.666667000	0.132298102	0.002036490	-107.119721598	0.894445274	0.989590949	0.001040478	161.666813531	0.187531022	0.989755315	0.001040644	161.662099641	0.187530971	0.132224326	0.002039340	-109.956425804	0.893432734
708608333.333333000	0.162782886	0.002056974	-111.613956549	0.739591571	0.985041732	0.001070860	157.326393327	0.190485231	0.985205877	0.001071030	157.320320100	0.190485037	0.162742909	0.002059935	-114.018896949	0.737416596
722774500.000000000	0.191944466	0.002080242	-116.018618416	0.639565468	0.979774392	0.001102841	153.027117621	0.193498850	0.979921376	0.001102991	153.022288660	0.193498804	0.191930093	0.002082761	-118.132762270	0.636342868
736940666.666667000	0.219634263	0.002104616	-120.341036366	0.570568205	0.973956857	0.001134329	148.776537358	0.196533115	0.974102588	0.001134493	148.772121794	0.196533003	0.219616460	0.002106435	-122.243262590	0.566471761
