%Frequency (Hz)	S1,1 Mag 	S1,1 u(Mag) 	S1,1 Phase (°)	S1,1 u(Phase) (°)	S2,1 Mag 	S2,1 u(Mag) 	S2,1 Phase (°)	S2,1 u(Phase) (°)	S1,2 Mag 	S1,2 u(Mag) 	S1,2 Phase (°)	S1,2 u(Phase) (°)	S2,2 Mag 	S2,2 u(Mag) 	S2,2 Phase (°)	S2,2 u(Phase) (°)
300000.000000000	0.001939290	0.002133078	91.805793538	63.220304072	0.999324728	0.001840018	-0.051869928	0.083410174	1.000428740	0.002086595	-0.123630762	0.103151240	0.001392751	0.002114699	81.955091990	87.128332559
14466166.666666700	0.073350004	0.002098464	-97.309887081	1.637640107	0.997009223	0.002434505	-6.842291548	0.129875073	0.996590270	0.002227546	-6.856193926	0.115591600	0.073338157	0.002095201	-97.281282811	1.635302792
28632333.333333300	0.142675095	0.002130066	-104.120013545	0.851177801	0.988276324	0.002750848	-13.429094397	0.154655643	0.987751759	0.002749359	-13.444412072	0.154653908	0.142724623	0.002126826	-104.100935210	0.849631495
42798500.000000000	0.208645582	0.002172411	-110.504711276	0.592026963	0.974978869	0.002750268	-19.858249573	0.156935540	0.974450711	0.002748683	-19.871000692	0.156929809	0.208775527	0.002169114	-110.542673487	0.590711286
56964666.666666700	0.269788484	0.002234855	-116.901562490	0.468737804	0.958130546	0.002728816	-26.075237364	0.158386341	0.957634301	0.002727275	-26.088179747	0.158378485	0.269888974	0.002217302	-117.031189673	0.464172213
71130833.333333300	0.325230854	0.002280552	-123.027861487	0.394541071	0.939074513	0.002705628	-32.062375426	0.160222162	0.938602952	0.002704124	-32.074484957	0.160213093	0.325293323	0.002277116	-123.273061503	0.393821803
85297000.000000000	0.375145097	0.002324669	-128.724162965	0.346334459	0.918619596	0.002732081	-37.810517014	0.166204953	0.918168909	0.002730545	-37.822727427	0.166192350	0.375244383	0.002359262	-129.096290936	0.352721740
99463166.666666700	0.418929996	0.002383133	-134.211963592	0.317104629	0.897923406	0.002649807	-43.285864762	0.164609750	0.897467599	0.002742569	-43.299743223	0.170929656	0.419048299	0.002423395	-134.683243698	0.322834929
113629333.333333000	0.456577878	0.002480022	-139.552554872	0.302763850	0.877781347	0.002660141	-48.528468977	0.169201965	0.877356786	0.002658566	-48.538182368	0.169182783	0.456640788	0.002422324	-140.083008880	0.293849891
127795500.000000000	0.489625188	0.002497788	-144.611804743	0.282481638	0.858448878	0.002640628	-53.568159151	0.171958676	0.858050626	0.002639146	-53.577146760	0.171940867	0.489628104	0.002494901	-145.188977045	0.282101287
141961666.666667000	0.518127522	0.002542441	-149.401582419	0.271216187	0.840582774	0.002662586	-58.398729015	0.178002227	0.840179799	0.002661073	-58.406056344	0.177986057	0.518077157	0.002542706	-150.025617928	0.271289534
156127833.333333000	0.541116087	0.002576893	-154.013496979	0.262466848	0.824998640	0.002622847	-63.033536958	0.178461501	0.824602015	0.002621293	-63.039593409	0.178440489	0.541007248	0.002575967	-154.675069295	0.262416236
170294000.000000000	0.559803360	0.002652055	-158.508093047	0.262201991	0.811231156	0.002562450	-67.532241246	0.176844149	0.810850050	0.002560844	-67.537315400	0.176815031	0.559661955	0.002547495	-159.204650436	0.248992321
184460166.666667000	0.575689416	0.002636219	-162.848031840	0.251951979	0.799080357	0.002561848	-71.894536361	0.179905242	0.798705426	0.002560226	-71.899768162	0.179874554	0.575554513	0.002639869	-163.602900109	0.252493431
198626333.333333000	0.587721983	0.002658918	-167.017829747	0.249125164	0.789506894	0.002588442	-76.150589438	0.184909093	0.789127768	0.002621474	-76.158394374	0.187452036	0.587570023	0.002652874	-167.848415855	0.248548922
212792500.000000000	0.595364078	0.002657705	-171.084552297	0.245124825	0.782709414	0.002543635	-80.337500344	0.182769303	0.782323355	0.002542053	-80.340339281	0.182744801	0.595273059	0.002653825	-171.961957083	0.244763284
226958666.666667000	0.600182548	0.002664613	-175.180312145	0.243919785	0.777716237	0.002508925	-84.476168352	0.181169236	0.777333060	0.002507366	-84.472906289	0.181144978	0.600235148	0.002657539	-176.069803878	0.243063182
241124833.333333000	0.602701651	0.002676127	-179.252087250	0.244179089	0.774667052	0.002525056	-88.551914300	0.183527850	0.774274873	0.002523431	-88.557542257	0.183501708	0.602826944	0.002673470	179.843916867	0.243826071
255291000.000000000	0.601772410	0.002659129	176.795722748	0.242825638	0.774423532	0.002537121	-92.651763186	0.184783189	0.774022978	0.002535461	-92.654418695	0.184756967	0.601857417	0.002658783	175.868663062	0.242752059
269457166.666667000	0.597127484	0.002639881	172.855868114	0.242798922	0.776604728	0.002509875	-96.789652156	0.181852916	0.776199927	0.002508248	-96.793765321	0.181829123	0.597161163	0.002635792	171.901430392	0.242294578
283623333.333333000	0.589580239	0.002634054	168.778347081	0.246226879	0.780653058	0.002507081	-100.952585811	0.180900172	0.780251920	0.002500197	-100.953632077	0.180213975	0.589608363	0.002630911	167.783303783	0.245296890
297789500.000000000	0.579283685	0.002627231	164.704269907	0.250353912	0.786812224	0.002533114	-105.168012566	0.181519269	0.786429900	0.002531452	-105.174551789	0.181487536	0.579210993	0.002629537	163.615400005	0.250704758
311955666.666667000	0.565420205	0.002595279	160.710205048	0.253676071	0.794988201	0.002552609	-109.518780460	0.181272978	0.794580210	0.002550827	-109.528388457	0.181238346	0.565184611	0.002599869	159.473968220	0.254381750
326121833.333333000	0.547421865	0.002558516	156.586406238	0.258695837	0.805050547	0.002547068	-114.003428418	0.178401549	0.804620763	0.002545309	-114.001656246	0.178372620	0.547095179	0.002559425	155.206034893	0.258998243
340288000.000000000	0.525618792	0.002519134	152.253418519	0.265912041	0.816735999	0.002552125	-118.600017703	0.176165142	0.816318972	0.002550473	-118.607724401	0.176140256	0.525328931	0.002519356	150.733457623	0.266130751
354454166.666667000	0.500613494	0.002468451	147.915541068	0.274097342	0.829577937	0.002575529	-123.352099777	0.175270098	0.829168853	0.002573890	-123.343022044	0.175244288	0.500293231	0.002470240	146.260274127	0.274577696
368620333.333333000	0.471348192	0.002414846	143.572359578	0.285541057	0.843400516	0.002590649	-128.284505584	0.173535956	0.842973925	0.002589019	-128.287916832	0.173513844	0.470886636	0.002413892	141.758096592	0.285776746
382786500.000000000	0.436422637	0.002362783	139.073274462	0.303191375	0.858158662	0.002581831	-133.413069987	0.169612034	0.857744017	0.002554871	-133.407145806	0.167906622	0.435878119	0.002363471	137.104019502	0.303301435
396952666.666667000	0.396947117	0.002298948	134.477028179	0.325357999	0.873278062	0.002583683	-138.726050146	0.166965431	0.872870005	0.002582221	-138.728669124	0.166948507	0.396413166	0.002296242	132.327814833	0.325444445
411118833.333333000	0.353837903	0.002224691	129.993898331	0.354293216	0.887792428	0.002599342	-144.218889370	0.165492100	0.887356503	0.002597860	-144.227912212	0.165478498	0.353225907	0.002221803	127.587674849	0.354435134
425285000.000000000	0.305482654	0.002153115	125.744033273	0.398692474	0.901334706	0.002603470	-149.916038786	0.163428367	0.900892989	0.002602159	-149.918436045	0.163426222	0.304661309	0.002143348	122.975436100	0.397832189
439451166.666667000	0.252080546	0.002084244	121.922357550	0.469614154	0.913272729	0.002587113	-155.807167383	0.160212704	0.912826241	0.002585895	-155.799864064	0.160215520	0.251091501	0.002075402	118.694383997	0.469266112
453617333.333333000	0.196421729	0.002018846	119.006385893	0.585443502	0.922694016	0.002578517	-161.846111416	0.158143955	0.922249170	0.002577222	-161.834074296	0.158140678	0.195211202	0.002009993	115.188626598	0.586709500
