%Frequency (Hz)	S1,1 Mag 	S1,1 u(Mag) 	S1,1 Phase (°)	S1,1 u(Phase) (°)	S2,1 Mag 	S2,1 u(Mag) 	S2,1 Phase (°)	S2,1 u(Phase) (°)	S1,2 Mag 	S1,2 u(Mag) 	S1,2 Phase (°)	S1,2 u(Phase) (°)	S2,2 Mag 	S2,2 u(Mag) 	S2,2 Phase (°)	S2,2 u(Phase) (°)
300000.000000000	0.001402854	NaN	-99.461048849	NaN	0.999516667	NaN	-0.128533402	NaN	0.999631101	NaN	-0.133451191	NaN	0.001407438	NaN	-99.431672327	NaN
14466166.666666700	0.065415042	0.002003300	-97.153866338	1.755336213	0.996861714	0.001373045	-6.367753832	0.080914151	0.996804879	0.001372968	-6.369477414	0.080914246	0.065337288	0.001998007	-97.156350982	1.752605568
28632333.333333300	0.127568546	0.002026658	-103.114095604	0.910141737	0.990307221	0.002107285	-12.509097840	0.129559655	0.990245885	0.002107157	-12.511285608	0.129559701	0.127441579	0.002004146	-103.089691068	0.900613718
42798500.000000000	0.187137176	0.002050378	-109.034185498	0.629344096	0.980383460	0.002114200	-18.544215396	0.131122732	0.980315576	0.002114058	-18.546481735	0.131122986	0.187013904	0.002005118	-109.001995665	0.615427831
56964666.666666700	0.243251656	0.002091868	-114.879198730	0.494460519	0.967674729	0.002107634	-24.440369858	0.132045187	0.967584903	0.002107442	-24.441927684	0.132045344	0.243154002	0.002002432	-114.849771871	0.472340777
71130833.333333300	0.295271636	0.002115552	-120.569615112	0.412418431	0.952854226	0.002093120	-30.170335459	0.132857656	0.952769354	0.002092938	-30.172808731	0.132857994	0.295246934	0.002007408	-120.554267859	0.390646694
85297000.000000000	0.342740101	0.002134175	-126.053183003	0.358189963	0.936618537	0.002144014	-35.721108743	0.138386853	0.936546807	0.002143865	-35.723229870	0.138387689	0.342818840	0.002040324	-126.062395478	0.342831168
99463166.666666700	0.385389293	0.002194261	-131.351862489	0.328765145	0.919681893	0.002145699	-41.072147079	0.140847902	0.919596963	0.002145519	-41.075057755	0.140848979	0.385523604	0.002031447	-131.384370493	0.303520740
113629333.333333000	0.423322150	0.002252220	-136.492352636	0.308175650	0.902687343	0.002100069	-46.234892771	0.140003471	0.902625481	0.002099944	-46.236385852	0.140004867	0.423439630	0.002009950	-136.542289085	0.272852291
127795500.000000000	0.456865983	0.002250674	-141.446947125	0.284905089	0.886055869	0.002094838	-51.215202255	0.142078224	0.886010443	0.002094764	-51.216088009	0.142080052	0.456910727	0.002049758	-141.509274740	0.258748682
141961666.666667000	0.486048912	0.002278337	-146.218023814	0.271595256	0.870287525	0.002145089	-56.023586548	0.148299148	0.870218056	0.002144962	-56.025109952	0.148302354	0.485991965	0.002066463	-146.292769798	0.245634942
156127833.333333000	0.510948783	0.002300935	-150.826845766	0.260965903	0.855920683	0.002117172	-60.660094976	0.148531827	0.855855499	0.002117051	-60.662668871	0.148534020	0.510767480	0.002078048	-150.906584964	0.234976166
170294000.000000000	0.531958257	0.002369186	-155.317008184	0.259410396	0.842978411	0.002056822	-65.161193518	0.146144451	0.842910892	0.002056682	-65.163387945	0.146146236	0.531643072	0.002025723	-155.397326276	0.219229886
184460166.666667000	0.549480665	0.002342677	-159.672366207	0.247730491	0.831578968	0.002069758	-69.531403765	0.149090955	0.831504826	0.002069619	-69.535728261	0.149093714	0.549072395	0.002114235	-159.757984321	0.223037718
198626333.333333000	0.563459218	0.002354316	-163.904115742	0.243109625	0.822108825	0.002110101	-73.802168800	0.154069053	0.822025602	0.002109940	-73.805984379	0.154072927	0.562982112	0.002126856	-163.997653691	0.219173639
212792500.000000000	0.573931501	0.002352646	-168.048225041	0.238345480	0.814829486	0.002073546	-77.985044693	0.152466249	0.814751168	0.002073387	-77.988306005	0.152468719	0.573439673	0.002115731	-168.137705622	0.213766914
226958666.666667000	0.581262954	0.002357233	-172.154576004	0.236027439	0.809437837	0.002034424	-82.105381306	0.150423725	0.809363235	0.002034257	-82.108827575	0.150425106	0.580775008	0.002119352	-172.228925012	0.211638627
241124833.333333000	0.585736152	0.002369370	-176.214421191	0.235589445	0.805971970	0.002059450	-86.174662563	0.153122159	0.805878373	0.002059237	-86.177857401	0.153123977	0.585248086	0.002139147	-176.276117343	0.212274356
255291000.000000000	0.587252869	0.002357688	179.761860672	0.233760350	0.804793480	0.002078944	-90.236440878	0.154976166	0.804698816	0.002078749	-90.239314958	0.154979368	0.586767009	0.002124260	179.707957702	0.210179363
269457166.666667000	0.585613338	0.002346719	175.745272416	0.233119736	0.805745995	0.002043560	-94.295786070	0.151958844	0.805637028	0.002043330	-94.299230165	0.151962319	0.585160745	0.002103925	175.698657349	0.208410341
283623333.333333000	0.581045203	0.002350445	171.686581138	0.235588305	0.808719618	0.002029231	-98.370663422	0.150374198	0.808603026	0.002028972	-98.372488279	0.150376132	0.580634765	0.002111815	171.644136841	0.211209086
297789500.000000000	0.573666584	0.002354184	167.597990458	0.239095290	0.813780856	0.002062498	-102.480067888	0.152177279	0.813675264	0.002062243	-102.483623498	0.152178332	0.573301932	0.002128733	167.546292940	0.216040869
311955666.666667000	0.563036633	0.002338238	163.475351807	0.241880507	0.820841928	0.002083562	-106.666740408	0.152661985	0.820723113	0.002083268	-106.668114831	0.152662384	0.562676798	0.002116182	163.398559880	0.218815324
326121833.333333000	0.548924119	0.002322364	159.270927297	0.246262586	0.829938628	0.002070490	-110.935652850	0.150082625	0.829823220	0.002070214	-110.938281033	0.150083409	0.548565651	0.002095589	159.164198156	0.222061153
340288000.000000000	0.531362680	0.002305004	154.940814359	0.252370063	0.840975118	0.002069208	-115.307784941	0.148192167	0.840877349	0.002068991	-115.308732704	0.148193827	0.531035315	0.002084623	154.796042368	0.228218332
354454166.666667000	0.510250995	0.002277539	150.506960348	0.259352184	0.853615530	0.002093575	-119.803707634	0.148038699	0.853519093	0.002093364	-119.802302424	0.148040687	0.509939713	0.002070570	150.307084451	0.235939687
368620333.333333000	0.485164010	0.002255037	145.965962558	0.269823442	0.867677875	0.002109513	-124.450884333	0.147057305	0.867595819	0.002109332	-124.449406124	0.147058235	0.484838589	0.002050251	145.681505009	0.245468218
382786500.000000000	0.455709724	0.002293497	141.281422397	0.291960320	0.883046263	0.002066647	-129.257733003	0.141967109	0.882975899	0.002094498	-129.258006504	0.143795401	0.455372857	0.002040255	140.881618235	0.259865923
396952666.666667000	0.421888430	0.002212929	136.427478937	0.304223831	0.899329014	0.002092665	-134.243621365	0.141274658	0.899284051	0.002092556	-134.243852702	0.141274171	0.421575891	0.002028991	135.873253541	0.278972516
411118833.333333000	0.383627784	0.002169875	131.443615242	0.327309251	0.915884433	0.002114243	-139.410051703	0.140599713	0.915840186	0.002114133	-139.412249375	0.140599285	0.383303974	0.002017066	130.678419832	0.304572707
425285000.000000000	0.340514398	0.002129281	126.349027516	0.361253148	0.932295912	0.002123895	-144.771445572	0.139194529	0.932248216	0.002123783	-144.774645827	0.139194243	0.340166241	0.002005272	125.310368533	0.340644139
