%Frequency (Hz)	S1,1 Mag 	S1,1 u(Mag) 	S1,1 Phase (°)	S1,1 u(Phase) (°)	S2,1 Mag 	S2,1 u(Mag) 	S2,1 Phase (°)	S2,1 u(Phase) (°)	S1,2 Mag 	S1,2 u(Mag) 	S1,2 Phase (°)	S1,2 u(Phase) (°)	S2,2 Mag 	S2,2 u(Mag) 	S2,2 Phase (°)	S2,2 u(Phase) (°)
300000.000000000	0.000870319	NaN	-96.013637580	NaN	0.999927875	NaN	-0.129181165	NaN	0.999808890	NaN	-0.100536985	NaN	0.000714657	NaN	-106.333246701	NaN
14466166.666666700	0.048367788	0.001995597	-95.684514337	2.364839594	0.998385497	0.001413051	-5.457478171	0.082668365	0.998477424	0.001413183	-5.458552785	0.082668450	0.048390483	0.001995494	-95.638233703	2.363649688
28632333.333333300	0.094954135	0.001986689	-100.915537074	1.198226016	0.994833808	0.002134824	-10.762061079	0.130273516	0.994912934	0.002134995	-10.762595525	0.130273537	0.095023976	0.001985628	-100.854140509	1.196808070
42798500.000000000	0.140360403	0.001958156	-106.104506741	0.800998673	0.989203728	0.002141366	-16.018335004	0.131275104	0.989281358	0.002141536	-16.018153025	0.131275219	0.140474257	0.001958947	-106.038024103	0.800755024
56964666.666666700	0.184061020	0.001932351	-111.257313104	0.603014418	0.981804247	0.002177599	-21.206371342	0.133712739	0.981871787	0.002177748	-21.206669957	0.133712702	0.184197903	0.001924348	-111.193574842	0.599691571
71130833.333333300	0.225536931	0.001878812	-116.329623870	0.479153296	0.972920209	0.001780901	-26.309228951	0.107980686	0.972989916	0.001781030	-26.309847455	0.107980811	0.225681051	0.001877826	-116.276801709	0.478585125
85297000.000000000	0.264467402	0.001825332	-121.296930981	0.396802282	0.962823025	0.002218292	-31.318659550	0.138617820	0.962909636	0.002218499	-31.319521423	0.138618196	0.264611376	0.001859230	-121.257515398	0.405271113
99463166.666666700	0.300644403	0.001797642	-126.162060863	0.345460612	0.951898671	0.002230192	-36.216688167	0.140810674	0.951966331	0.002230359	-36.218276386	0.140811176	0.300766404	0.001797499	-126.144164468	0.345339757
113629333.333333000	0.333863492	0.001776768	-130.916148094	0.308806566	0.940583161	0.002206342	-41.008125036	0.140617479	0.940657310	0.002206525	-41.008616108	0.140618018	0.333941058	0.001731842	-130.925522505	0.299626772
127795500.000000000	0.364102509	0.001683535	-135.546190139	0.268392621	0.929078898	0.002255996	-45.687640807	0.145256416	0.929144323	0.002205064	-45.687381442	0.142111433	0.364125856	0.001694684	-135.583231354	0.270229850
141961666.666667000	0.391349925	0.001657768	-140.078565658	0.246539554	0.917627217	0.002261253	-50.258755058	0.147664972	0.917683614	0.002261418	-50.259419342	0.147666772	0.391336902	0.001658785	-140.138591481	0.246773191
156127833.333333000	0.415594315	0.001618739	-144.502638851	0.227090305	0.906670279	0.002251623	-54.712547591	0.148589841	0.906717166	0.002251762	-54.713296945	0.148590994	0.415544656	0.001618873	-144.584255513	0.227216445
